; LGEO Elements List
;
; For use with Lars C. Hassings L3P version x.xx and up
;
; Ldraw	LGEO	LG_Flags (L=LGEO, S=Slope, A=AntonRaves)
3641	3641	L
3645	3645	L
3647	3647	L
3648	3648	L
3648a	3648a	L
3648b	3648b	L
3649	3649	L
3650	3650	L
3650a	3650a	L
3650b	3650b	L
3650c	3650c	L
3651	3651	L
3659	3659	L
3660	3660	LS
3665	3665	LS
3666	3666	L
3673	3673	L
3675	3675	LS
3676	3676	LS
3678	3678	L
3678b	3678b	L
3679	3679	L
3680	3680	L
3680c01	3680c01	L
3684	3684	LS
3685	3685	LS
3688	3688	LS
3700	3700	L
3701	3701	L
3702	3702	L
3703	3703	L
3704	3704	L
3705	3705	L
3706	3706	L
3707	3707	L
3708	3708	L
3709	3709	L
3709a	3709a	L
3709b	3709b	L
3709c	3709c	L
3710	3710	L
3711	3711	L
3712	3712	L
3713	3713	L
3729	3729	L
3730	3730	L
3731	3731	L
3736	3736	L
3737	3737	L
3738	3738	L
3739	3739	L
3740	3740	LS
3741	3741	L
3742	3742	L
3743	3743	L
3747	3747	LS
3749	3749	L
3754	3754	L
3755	3755	L
3787	3787	L
3788	3788	L
3794	3794	L
3795	3795	L
3811	3811	L
3821	3821	L
3822	3822	L
3823	3823	L
3828	3828	L
3829	3829	L
3829a	3829a	L
3829b	3829b	L
3829c01	3829c01	L
3830	3830	L
3831	3831	L
3832	3832	L
3833	3833	L
3834	3834	A
3838	3838	L
3839	3839	L
3839a	3839a	L
3839b	3839b	L
3840	3840	L
3849	3849	L
3853	3853	L
3854	3854	L
3855	3855	L
3856	3856	L
3857	3857	L
3861	3861	L
3865	3865	L
3867	3867	L
3873	3873	L
3894	3894	L
3895	3895	L
3899	3899	L
3901	3901	A
3933	3933	L
3934	3934	L
3935	3935	L
3936	3936	L
3937	3937	L
3938	3938	L
3939	3939	L
3940	3940	L
3941	3941	L
3942	3942	L
3942a	3942a	L
3942b	3942b	L
3943	3943	L
3943a	3943a	L
3944	3944	L
3945	3945	L
3946	3963	L
3949	3949	L
3950	3950	L
3951	3951	L
3956	3956	L
3957	3957	L
3958	3958	L
3959	3959	L
3960	3960	L
3961	3961	L
3963	3963	L
4019	4019	L
4022	4022	L
4023	4023	L
4032	4032	L
4033	4033	L
4034	4034	L
4035	4035	L
4036	4036	L
4070	4070	L
4073	4073	L
4079	4079	L
4081	4081	L
4081a	4081a	L
4081b	4081b	L
4082	4082	L
4083	4083	L
4084	4084	L
4085	4085	L
4085a	4085a	L
4085b	4085b	L
4085c	4085c	L
4089	4089	L
4092	4092	L
4092a	4092a	L
4092b	4092b	L
4093	4093b	L
4093a	4093a	L
4093b	4093b	L
4095	4095	L
4143	4143	L
4150	4150	L
4150p01	4150p01	L
4150px1	4150px1	L
4151	4151	L
4161	4161	LS
4162	4162	L
4168	4168	L
4169	4169	L
4175	4175	L
4176	4176	L
4178	4178	L
4181	4181	L
4181p01	4181p01	L
4181p02	4181p02	L
4181p03	4181p03	L
4181p04	4181p04	L
4181p05	4181p05	L
4181p06	4181p06	L
4181p07	4181p07	L
4182	4182	L
4182p01	4182p01	L
4182p02	4182p02	L
4182p03	4182p03	L
4182p04	4182p04	L
4182p05	4182p05	L
4182p06	4182p06	L
4182p07	4182p07	L
4183	4183	L
4185	4185	L
4186	4186	L
4187	4187	L
4201	4201	L
4202	4202	L
4203	4203	L
4204	4204	L
4207	4207	L
4211	4211	L
4212	4212	L
4212a	4212a	L
4213	4213	L
4214	4214	L
4215	4215	L
4215a	4215a	L
4215b	4215b	L
4216	4216	L
4217	4217	L
4218	4218	L
4219	4219	L
4228	4228	L
4261	4261	L
4262	4262	L
4263	4263	L
4265	4265	L
4265a	4265a	L
4265b	4265b	L
4265c	4265c	L
4266	4266	L
4267	4267	LS
4273	4273	L
4273a	4273a	L
4273b	4273b	L
4274	4274	L
4275	4275	L
4275a	4275a	L
4275b	4275b	L
4276	4276	L
4276a	4276a	L
4276b	4276b	L
4282	4282	L
4284	4284	L
4285	4285	L
4285a	4285a	L
4285b	4285b	L
4286	4286	LS
4287	4287	LS
4289	4289	A
4315	4315	L
4318	4318	L
4319	4319	L
4345	4345	L
4345a	4345a	L
4345b	4345b	L
4346	4346	L
4349	4349	L
4360	4360	L
4442	4442	L
4444	4444	L
4444p03	4444p03	L
4445	4445	LS
4447	4447	L
4448	4448	L
4452	4452	L
4459	4459	L
4460	4460	LS
4461	4461	L
4474	4474	L
4475	4475	L
4476	4476	L
4477	4477	L
4478	4478	L
4478p01	4478p01	L
4485	4485	L
4488	4488	L
4489	4489	L
4490	4490	L
4504	4504	L
4505	4505	L
4508	4508	L
4509	4509	LS
4510	4510	L
4515	4515	L
4515p02	4515p02	L
4519	4519	L
4528	4528	L
4529	4529	L
4531	4531	L
4532	4532	L
4533	4533	L
4534	4534	L
4535	4535	L
4536	4536	L
4587	4587	L
4588	4588	L
4589	4589	L
4590	4590	L
4591	4591	L
4592	4592	L
4592c01	4592c01	L
4593	4593	L
4594	4594	L
4595	4595	L
4596	4596	L
4597	4597	L
4598	4598	L
4599	4599	L
4600	4600	L
4601	4601	L
4607	4607	L
4623	4623	L
4624	4624	L
4625	4625	L
4626	4626	L
4688	4688	L
4719	4719	A
4720	4720	A
4728	4728	L
4729	4729	L
4730	4730	L
4732	4732	L
4733	4733	L
4735	4735	L
4740	4740	L
4742	4742	L
4743	4743	L
4744	4744	L
4854	4854	LS
4855	4855	LS
4856	4856	LS
4857	4857	LS
4858	4858	LS
4859	4859	L
4861	4861	LS
4862	4862	L
4863	4863	L
4864	4864	L
4864a	4864a	L
4864b	4864b	L
4865	4865	L
4866	4866	L
4871	4871	LS
4872	4872	L
4873	4873	L
6002	6002	L
6003	6003	L
6005	6005	L
6014	6014	L
6015	6015	L
6016	6016	L
6019	6019	L
6020	6020	L
6037	6037	L
6044	6044	L
6046	6046	L
6055	6055	L
6056	6056	L
6058	6058	L
6059	6059	L
6060	6060	L
6061	6061	L
6063	6063	L
6066	6066	L
6069	6069	LS
6070	6070	L
6079	6079	L
6081	6081	L
6082	6082	L
6083	6083	L
6087	6087	L
6091	6091	L
6099	6099	L
6099p02	6099p02	L
6099p03	6099p03	L
6099p04	6099p04	L
6099p05	6099p05	L
6099p06	6099p06	L
6100	6100	L
6104	6104	L
6106	6106	L
6107	6107	L
6108	6108	L
6111	6111	L
6112	6112	L
6134	6134	L
6139	6139	L
6140	6140	L
6141	6141	L
6143	6143	L
6152	6152	L
6153	6153	LS
6154	6154	L
6155	6155	L
6156	6156	L
6157	6157	L
6159	6159	L
6160	6160	L
6160a	6160a	L
6160b	6160b	L
6167	6167	L
6168	6168	L
6168a	6168a	L
6177	6177	L
6178	6178	L
6179	6179	L
6180	6180	L
6182	6182	L
6183	6183	L
6187	6187	L
6188	6188	L
6190	6190	A
6191	6191	L
6192	6192	L
6205	6205	L
6208	6208	L
6212	6212	L
6213	6213	L
6215	6215	L
6218	6218	L
6219	6219	L
6221	6221	L
6222	6222	L
6231	6231	L
6232	6232	L
6233	6233	L
6238	6238	L
6238a	6238a	L
6248	6248	L
6249	6249	L
6259	6259	L
6264	6264	L
6267	6267	L
6268	6268	L
6268a	6268a	L
6268b	6268b	L
6536	6536	L
6538	6538	L
6538a	6538a	L
6538b	6538b	L
6541	6541	L
6546	6546	L
6553	6553	L
6556	6556	L
6558	6558	L
6564	6564	L
6565	6565	L
6573	6573	L
6576	6576	L
6577	6577	L
6583	6583	L
6584	6584	L
6587	6587	L
6589	6589	L
6592	6592	L
6628	6628	L
6629	6629	L
6630	6630	L
6632	6632	L
6636	6636	L
6881	6881	L
6934	6934	L
7026	7026	L
7026c	7026c	L
7028	7028	L
7039	7039	L
7049	7049	L
7065	7065	L
7067	7067	L
7930	7930	L
9244	9244	L
9326	9326	L
9327	9327	L
9328	9328	L
9339	9339	L
9342	9342	L
9352	9352	L
9401	9401	L
9442	9442	L
9551	9551	L
9552	9552	L
9553	9553	L
9556	9556	L
9566	9566	L
30000	30000	L
30002	30002	L
30007	30007	L
30009	30009	L
30010	30010	L
30022	30022	L
30027	30027	L
30028	30028	L
30030	30030	L
30030p01	30030p01	L
30031	30031	L
30033	30033	L
30037	30037	L
30039	30039	L
30043	30043	L
30044	30044	L
30045	30045	LS
30046	30046	L
30055	30055	L
30056	30056	L
30057	30057	L
30059	30059	L
30060	30060	L
30062	30062	L
30065	30065	L
30071	30071	L
30072	30072	L
30076	30076	L
30077	30077	L
30079	30079	L
30080	30080	L
30093	30093	L
30095	30095	L
30099	30099	L
30118	30118	L
30119	30119	L
30136	30136	L
30137	30137	L
30140	30140	L
30144	30144	L
30145	30145	L
30147	30147	L
30150	30150	LS
30151	30151	L
30156	30156	L
30159	30159	L
30161	30161	L
30165	30165	L
30180	30180	L
30181	30181	L
30182	30182	LS
30183	30183	LS
30236	30236	L
30237	30237	L
30241	30241	L
30244	30244	L
30250	30250	L
30277	30277	L
30283	30283	LS
30322	30322	L
30337	30337	L
30350	30350	L
30355	30355	L
30356	30356	L
30357	30357	L
30359	30359	L
30359a	30359a	L
30359b	30359b	L
30363	30363	LS
30364	30364	L
30365	30365	L
30374	30374	L
30383	30383	L
30386	30386	L
30387	30387	L
30388	30388	L
30389	30389	L
30389a	30389a	L
30389b	30389b	L
30389c	30389c	L
30400	30400	L
30407	30407	L
30413	30413	L
30414	30414	L
30499	30499	LS
30503	30503	L
30504	30504	L
30505	30505	L
30526	30526	L
30540	30540	L
30541	30541	L
30552	30552	L
30553	30553	L
30554	30554	L
30562	30562	L
30565	30565	L
30602	30602	A
32000	32000	L
32001	32001	L
32002	32002	L
32009	32009	L
32013	32013	L
32014	32014	L
32015	32015	L
32016	32016	L
32017	32017	L
32018	32018	L
32028	32028	L
32034	32034	L
32039	32039	L
32054	32054	L
32056	32056	L
32059	32059	L
32062	32062	L
32063	32063	L
32064	32064	L
32064b	32064b	L
32065	32065	L
32068	32068	L
32073	32073	L
32083	32083	LS
32123	32123	L
32124	32124	L
32126	32126	L
32132	32132	L
32140	32140	L
32184	32184	L
32185	32185	L
32192	32192	L
32209	32209	L
32271	32271	L
32278	32278	L
32291	32291	L
32316	32316	L
32324	32324	L
32348	32348	L
32449	32449	L
32523	32523	L
32524	32524	L
32525	32525	L
32526	32526	L
32531	32531	L
32557	32557	L
40344	40344	L
40345	40345	L
40490	40490	L
40620	40620	L
40902	40902	L
41239	41239	L
41532	41532	L
41539	41539	L
41677	41677	L
41678	41678	L
41767	41767	L
41768	41768	L
41769	41769	L
41770	41770	L
41854	41854	A
41855	41855	A
42003	42003	L
42445	42445	L
42446	42446	L
42610	42610	L
43093	43093	L
43123	43123	L
43719	43719	L
43722	43722	L
43723	43723	L
43857	43857	L
43898	43898	L
44042	44042	L
44237	44237	L
44294	44294	L
44300	44300	L
44301	44301	L
44302	44302	L
44567	44567	L
44568	44568	L
44570	44570	L
44572	44572	L
44728	44728	L
44822	44822	L
45417	45417	L
45677	45677	A
47397	47397	L
47398	47398	L
47407	47407	L
47456	47456	A
47905	47905	L
47975	47975	L
47998	47998	L
48092	48092	L
48183	48183	L
48288	48288	L
48336	48336	L
48933	48933	LS
48989	48989	L
48995	48995	L
49059	49059	L
50303	50303	L
50304	50304	L
50305	50305	L
50373	50373	LS
50746	50746	L
50944	50944	L
50944c01	50944c01	L
50944px1	50944px1	L
50945	50945	L
51011	51011	L
51739	51739	L
52031	52031	A
52107	52107	L
52501	52501	LS
54196	54196	L
54200	54200	L
54383	54383	L
54384	54384	L
55013	55013	L
58181	58181	L
58231	58231	L
59349	59349	L
59350	59350	L
60219	60219	LS
60470	60470	L
60471	60471	L
60475	60475	L
60477	60477	LS
60478	60478	L
60479	60479	L
60481	60481	LS
60483	60483	L
61345	61345	L
62113	62113	L
70942	70942	L
71075	71075	L
71076	71076	L
71137	71137	L
71874	71874	L
73071	73071	L
73081	73081	L
73092	73092	L
73200	73200	L
73312	73312	L
73418	73418	L
73435	73435	L
73436	73436	L
73594	73594	L
73861	73861	L
74040	74040	L
74326	74326	L
74333	74333	L
75535	75535	L
76385	76385	L
80256	80256	L
80546	80546	L
80547	80547	L
80548	80548	L
80549	80549	L
80582	80582	L
80587	80587	L
80588	80588	L
80671	80671	L
80672	80672	L
241901	241901	L
243101	243101	L
300301	300301	L
300401	300401	L
300421	300421	L
302021	302021	L
302101	302101	L
302323	302323	L
303223	303223	L
303226	303226	L
303923	303923	L
306901	306901	L
307024	307024	L
362626	362626	L
370101	370101	L
370226	370226	L
370526	370526	L
370626	370626	L
370726	370726	L
370826	370826	L
370926	370926	L
379424	379424	L
379501	379501	L
379523	379523	L
382301	383201	L
395701	395701	L
401926	401926	L
407026	407026	L
407924	407924	L
408523	408523	L
408526	408526	L
459923	459923	L
601926	601926	L
618843	618843	L
663626	663626	L
3003126	3003126	L
3005741	3005741	L
4107623	4107623	L
4107767	4107767	L
4109810	4109810	L
4118782	4118782	L
4119350	4119350	L
4120158	4120158	L
4121715	4121715	L
4125254	4125254	L
4140801	4140801	L
4143005	4143005	L
4144485	4144485	L
4160689	4160689	L
4162628	4162628	L
4162916	4162916	L
4168950	4168950	L
4173943	4173943	L
4177932	4177932	L
4181142	4181142	L
4206482	4206482	L
4206504	4206504	L
4210531	4210531	L
4210633	4210633	L
4210698	4210698	L
4211069	4211069	L
4211119	4211119	L
4211385	4211385	L
4211395	4211395	L
4211396	4211396	L
4211477	4211477	L
4211483	4211483	L
4211536	4211536	L
4211550	4211550	L
4211573	4211573	L
4211622	4211622	L
4211807	4211807	L
4211815	4211815	L
4214921	4214921	L
4218803	4218803	L
4218868	4218868	L
4221774	4221774	L
4221858	4221858	L
4221886	4221886	L
4222693	4222693	L
4223189	4223189	L
4225787	4225787	L
4226869	4226869	L
4226995	4226995	L
4234927	4234927	L
4234932	4234932	L
4240416	4240416	L
4243824	4243824	L
4261453	4261453	L
4263192	4263192	L
4263624	4263624	L
4270181	4270181	L
4287707	4287707	L
4287708	4287708	L
4294998	4294998	L
4296152	4296152	L
4504369	4504369	L
4504371	4504371	L
4506697	4506697	L
bb62	bb62	L
x589p01	x589p01	L
x855	x855	L
